Subject,List,FirstorSecond,Experiment,Sentence,Picture,Accuracy,RT
58,4,2,2,Blank,Gray,1,1035.5
58,4,2,2,Blank,Color,1,1111
58,4,2,2,Color,Color,1,995.5
58,4,2,2,Color,Gray,1,1035
60,1,2,2,Blank,Gray,0.916666667,707
60,1,2,2,Blank,Color,1,573.5
60,1,2,2,Color,Color,1,543
60,1,2,2,Color,Gray,1,542
62,2,2,2,Blank,Gray,1,677.5
62,2,2,2,Blank,Color,1,599.5
62,2,2,2,Color,Color,1,664.5
62,2,2,2,Color,Gray,1,576
64,3,1,2,Blank,Gray,1,1642
64,3,1,2,Blank,Color,1,1568
64,3,1,2,Color,Color,1,1720.5
64,3,1,2,Color,Gray,1,1660.5
66,4,1,2,Blank,Gray,0.916666667,1547
66,4,1,2,Blank,Color,1,1528
66,4,1,2,Color,Color,1,1344.5
66,4,1,2,Color,Gray,1,1359
68,1,1,2,Blank,Gray,1,533.5
68,1,1,2,Blank,Color,0.916666667,441
68,1,1,2,Color,Color,0.916666667,399
68,1,1,2,Color,Gray,1,462
70,2,2,2,Blank,Gray,1,804
70,2,2,2,Blank,Color,1,987.5
70,2,2,2,Color,Color,1,1299.5
70,2,2,2,Color,Gray,1,896.5
72,3,2,2,Blank,Gray,1,1344.5
72,3,2,2,Blank,Color,1,1162
72,3,2,2,Color,Color,1,1232
72,3,2,2,Color,Gray,1,1238
74,4,1,2,Blank,Gray,0.916666667,607
74,4,1,2,Blank,Color,1,524.5
74,4,1,2,Color,Color,1,540
74,4,1,2,Color,Gray,1,540.5
76,1,2,2,Blank,Gray,1,800
76,1,2,2,Blank,Color,1,763
76,1,2,2,Color,Color,1,1125
76,1,2,2,Color,Gray,1,1083.5
78,2,1,2,Blank,Gray,1,1020.5
78,2,1,2,Blank,Color,1,1014
78,2,1,2,Color,Color,1,950
78,2,1,2,Color,Gray,1,1314.5
80,3,1,2,Blank,Gray,1,627
80,3,1,2,Blank,Color,1,659
80,3,1,2,Color,Color,1,530
80,3,1,2,Color,Gray,1,597.5
82,4,1,2,Blank,Gray,1,566.5
82,4,1,2,Blank,Color,1,573
82,4,1,2,Color,Color,1,666.5
82,4,1,2,Color,Gray,1,699
84,1,1,2,Blank,Gray,1,1089.5
84,1,1,2,Blank,Color,1,1027
84,1,1,2,Color,Color,1,1520.5
84,1,1,2,Color,Gray,0.916666667,1028
86,2,1,2,Blank,Gray,1,530.5
86,2,1,2,Blank,Color,0.916666667,469
86,2,1,2,Color,Color,1,494.5
86,2,1,2,Color,Gray,1,642.5
88,3,1,2,Blank,Gray,1,757
88,3,1,2,Blank,Color,1,499.5
88,3,1,2,Color,Color,0.916666667,579
88,3,1,2,Color,Gray,1,590
90,4,1,2,Blank,Gray,1,839
90,4,1,2,Blank,Color,1,858.5
90,4,1,2,Color,Color,1,704.5
90,4,1,2,Color,Gray,1,1077
92,1,2,2,Blank,Gray,0.916666667,809
92,1,2,2,Blank,Color,1,1171.5
92,1,2,2,Color,Color,1,1429.5
92,1,2,2,Color,Gray,1,1422.5
94,2,2,2,Blank,Gray,1,877
94,2,2,2,Blank,Color,1,1036
94,2,2,2,Color,Color,1,959.5
94,2,2,2,Color,Gray,1,1084
96,3,1,2,Blank,Gray,1,1709
96,3,1,2,Blank,Color,1,1556.5
96,3,1,2,Color,Color,1,1229.5
96,3,1,2,Color,Gray,1,1475
98,4,1,2,Blank,Gray,1,886.5
98,4,1,2,Blank,Color,1,516
98,4,1,2,Color,Color,1,547
98,4,1,2,Color,Gray,1,678
100,1,2,2,Blank,Gray,0.916666667,616
100,1,2,2,Blank,Color,1,520
100,1,2,2,Color,Color,1,508
100,1,2,2,Color,Gray,0.916666667,643
102,2,2,2,Blank,Gray,1,585
102,2,2,2,Blank,Color,1,519
102,2,2,2,Color,Color,1,524
102,2,2,2,Color,Gray,0.916666667,663
104,3,2,2,Blank,Gray,1,813.5
104,3,2,2,Blank,Color,0.916666667,661
104,3,2,2,Color,Color,1,687.5
104,3,2,2,Color,Gray,1,781.5
106,4,1,2,Blank,Gray,1,715
106,4,1,2,Blank,Color,1,692.5
106,4,1,2,Color,Color,1,591.5
106,4,1,2,Color,Gray,0.916666667,689
108,1,2,2,Blank,Gray,0.916666667,528
108,1,2,2,Blank,Color,1,536
108,1,2,2,Color,Color,1,538
108,1,2,2,Color,Gray,1,638
110,2,2,2,Blank,Gray,1,1050
110,2,2,2,Blank,Color,1,819.5
110,2,2,2,Color,Color,1,748.5
110,2,2,2,Color,Gray,1,925
112,3,1,2,Blank,Gray,1,691
112,3,1,2,Blank,Color,0.916666667,607
112,3,1,2,Color,Color,1,602
112,3,1,2,Color,Gray,1,691.5
114,4,1,2,Blank,Gray,0.916666667,1125
114,4,1,2,Blank,Color,1,1095
114,4,1,2,Color,Color,1,1252
114,4,1,2,Color,Gray,0.916666667,1015
116,1,2,2,Blank,Gray,1,761
116,1,2,2,Blank,Color,1,702
116,1,2,2,Color,Color,1,713
116,1,2,2,Color,Gray,1,900.5
118,2,1,2,Blank,Gray,1,607.5
118,2,1,2,Blank,Color,1,580.5
118,2,1,2,Color,Color,1,561.5
118,2,1,2,Color,Gray,1,618
120,3,2,2,Blank,Gray,1,595
120,3,2,2,Blank,Color,1,524.5
120,3,2,2,Color,Color,0.916666667,530
120,3,2,2,Color,Gray,1,562
124,1,1,2,Blank,Gray,0.916666667,781
124,1,1,2,Blank,Color,0.833333333,571
124,1,1,2,Color,Color,1,536
124,1,1,2,Color,Gray,0.833333333,1034.5
126,2,1,2,Blank,Gray,1,1317.5
126,2,1,2,Blank,Color,1,1074
126,2,1,2,Color,Color,1,1218
126,2,1,2,Color,Gray,1,1295.5
128,3,1,2,Blank,Gray,1,1224
128,3,1,2,Blank,Color,0.916666667,1472
128,3,1,2,Color,Color,0.916666667,1424
128,3,1,2,Color,Gray,0.916666667,1404
130,4,2,2,Blank,Gray,1,699.5
130,4,2,2,Blank,Color,1,652
130,4,2,2,Color,Color,1,678
130,4,2,2,Color,Gray,0.916666667,643
132,1,2,2,Blank,Gray,1,676.5
132,1,2,2,Blank,Color,1,632
132,1,2,2,Color,Color,1,603
132,1,2,2,Color,Gray,0.916666667,699
134,2,2,2,Blank,Gray,1,1364
134,2,2,2,Blank,Color,1,936.5
134,2,2,2,Color,Color,1,1269.5
134,2,2,2,Color,Gray,1,1157
136,3,2,2,Blank,Gray,1,700.5
136,3,2,2,Blank,Color,0.916666667,541
136,3,2,2,Color,Color,0.916666667,587
136,3,2,2,Color,Gray,1,679.5
138,4,1,2,Blank,Gray,1,1136.5
138,4,1,2,Blank,Color,1,651.5
138,4,1,2,Color,Color,1,806
138,4,1,2,Color,Gray,0.916666667,895
140,1,2,2,Blank,Gray,0.916666667,986
140,1,2,2,Blank,Color,1,1310
140,1,2,2,Color,Color,1,1221.5
140,1,2,2,Color,Gray,0.916666667,1036
142,2,1,2,Blank,Gray,1,568
142,2,1,2,Blank,Color,0.916666667,538
142,2,1,2,Color,Color,1,622
142,2,1,2,Color,Gray,1,685
144,3,1,2,Blank,Gray,1,815
144,3,1,2,Blank,Color,1,731.5
144,3,1,2,Color,Color,1,659.5
144,3,1,2,Color,Gray,1,702
146,4,1,2,Blank,Gray,0.916666667,658
146,4,1,2,Blank,Color,1,643
146,4,1,2,Color,Color,1,661.5
146,4,1,2,Color,Gray,1,651.5
148,1,2,2,Blank,Gray,1,642.5
148,1,2,2,Blank,Color,1,553
148,1,2,2,Color,Color,1,662
148,1,2,2,Color,Gray,1,730
150,2,1,2,Blank,Gray,1,1075.5
150,2,1,2,Blank,Color,0.916666667,908
150,2,1,2,Color,Color,1,1043.5
150,2,1,2,Color,Gray,1,1124
152,3,1,2,Blank,Gray,1,637
152,3,1,2,Blank,Color,0.916666667,1049
152,3,1,2,Color,Color,1,617.5
152,3,1,2,Color,Gray,1,703
154,4,1,2,Blank,Gray,0.916666667,1184
154,4,1,2,Blank,Color,1,968
154,4,1,2,Color,Color,1,1124
154,4,1,2,Color,Gray,0.916666667,962
156,1,2,2,Blank,Gray,0.916666667,688
156,1,2,2,Blank,Color,1,699
156,1,2,2,Color,Color,1,678
156,1,2,2,Color,Gray,0.916666667,812
158,2,1,2,Blank,Gray,1,614
158,2,1,2,Blank,Color,1,810
158,2,1,2,Color,Color,0.916666667,733
158,2,1,2,Color,Gray,1,631.5
160,3,1,2,Blank,Gray,1,755.5
160,3,1,2,Blank,Color,1,736.5
160,3,1,2,Color,Color,1,534.5
160,3,1,2,Color,Gray,1,732.5
162,4,1,2,Blank,Gray,1,519.5
162,4,1,2,Blank,Color,1,427
162,4,1,2,Color,Color,1,407.5
162,4,1,2,Color,Gray,0.916666667,490
164,1,1,2,Blank,Gray,1,666
164,1,1,2,Blank,Color,1,585.5
164,1,1,2,Color,Color,0.916666667,470
164,1,1,2,Color,Gray,0.916666667,592
166,2,1,2,Blank,Gray,1,732
166,2,1,2,Blank,Color,1,618.5
166,2,1,2,Color,Color,0.916666667,717
166,2,1,2,Color,Gray,1,831
168,3,1,2,Blank,Gray,1,881.5
168,3,1,2,Blank,Color,1,1080
168,3,1,2,Color,Color,1,796.5
168,3,1,2,Color,Gray,1,942
170,1,2,2,Blank,Gray,1,1154
170,1,2,2,Blank,Color,1,853
170,1,2,2,Color,Color,1,941.5
170,1,2,2,Color,Gray,1,1079.5
172,3,1,2,Blank,Gray,1,932.5
172,3,1,2,Blank,Color,0.833333333,753.5
